"Genre";"Foyers";"Diplome";"DureeTV"
"H";5;"Bac+2";121
"H";5;"Pas de diplome";160
"F";2;"BEPC";130
"F";4;"SupBac+2";109
"H";4;"Pas de diplome";150
"F";3;"CAP,BEP";126
"F";4;"CAP,BEP";103
"F";4;"SupBac+2";120
"H";1;"BEPC";124
"F";5;"Pas de diplome";119
"F";1;"Bac+2";124
"F";5;"Bac";120
"H";1;"SupBac+2";123
"H";3;"SupBac+2";138
"H";3;"Bac+2";129
"F";5;"CAP,BEP";140
"F";4;"Pas de diplome";124
"F";2;"Bac";109
"F";2;"Bac";112
"F";2;"CAP,BEP";132
"H";4;"SupBac+2";129
"H";2;"BEPC";147
"H";5;"Bac";150
"F";5;"Bac";122
"H";5;"Bac+2";144
"H";3;"Bac";127
"H";2;"Pas de diplome";155
"H";3;"Bac";127
"F";1;"Bac";122
"F";3;"Pas de diplome";119
"H";5;"Pas de diplome";139
"H";4;"CAP,BEP";136
"F";4;"Bac";134
"H";2;"Pas de diplome";165
"F";3;"BEPC";105
"H";4;"CAP,BEP";140
"H";4;"Pas de diplome";139
"H";4;"CAP,BEP";148
"F";4;"BEPC";135
"H";1;"BEPC";148
"F";5;"Bac+2";99
"F";4;"Bac";141
"F";1;"Bac";142
"H";2;"Bac+2";135
"F";3;"CAP,BEP";113
"F";5;"Pas de diplome";145
"H";5;"Pas de diplome";148
"F";1;"CAP,BEP";160
"H";2;"Bac";122
"F";4;"BEPC";133
"F";2;"Bac+2";130
"H";3;"Bac";145
"F";3;"BEPC";135
"F";5;"BEPC";118
"F";5;"Bac";123
"F";3;"Bac+2";116
"H";5;"Bac";130
"F";1;"SupBac+2";107
"F";5;"SupBac+2";127
"H";3;"CAP,BEP";132
"F";1;"Pas de diplome";138
"F";2;"Bac+2";131
"F";5;"Pas de diplome";116
"H";3;"Pas de diplome";136
"H";1;"Bac+2";130
"F";5;"Pas de diplome";121
"H";5;"CAP,BEP";129
"F";3;"Pas de diplome";123
"F";3;"BEPC";141
"H";4;"CAP,BEP";138
"H";1;"Bac+2";131
"H";1;"Bac";149
"H";1;"BEPC";122
"F";2;"CAP,BEP";128
"H";1;"SupBac+2";154
"H";5;"Pas de diplome";150
"H";2;"BEPC";129
"F";2;"CAP,BEP";136
"H";4;"Bac+2";125
"F";4;"Bac";109
"F";2;"CAP,BEP";144
"H";4;"Bac+2";120
"H";4;"SupBac+2";125
"H";4;"Pas de diplome";122
"H";2;"SupBac+2";126
"H";1;"BEPC";139
"H";4;"SupBac+2";129
"F";2;"CAP,BEP";136
"F";3;"CAP,BEP";130
"H";1;"CAP,BEP";152
"F";5;"SupBac+2";125
"H";4;"CAP,BEP";141
"H";5;"Pas de diplome";144
"H";4;"BEPC";115
"F";3;"Bac";125
"H";4;"SupBac+2";130
"F";4;"Bac";118
"H";3;"Pas de diplome";135
"H";2;"Pas de diplome";126
"F";1;"CAP,BEP";141
"H";3;"BEPC";138
"H";4;"Bac";132
"F";3;"Bac+2";110
"H";3;"Bac+2";119
"H";5;"SupBac+2";140
"F";5;"Bac+2";111
"H";4;"Bac";141
"F";3;"Pas de diplome";127
"F";3;"Pas de diplome";106
"H";4;"Bac+2";114
"H";4;"SupBac+2";128
"F";1;"Bac";118
